_key	2020-11	2020-10	2020-09	2020-08	2020-07	2020-06	2020-05	2020-04	2020-03	2020-02	2020-01	2019-12	2019-11	2019-10	2019-09	2019-08	2019-07	2019-06	2019-05	2019-04	2019-03	2019-02	2019-01	2018-12	2018-11	2018-10	2018-09	2018-08	2018-07	2018-06	2018-05	2018-04	2018-03	2018-02	2018-01	2017-12	2017-11	2017-10	2017-09	2017-08	2017-07	2017-06	2017-05	2017-04	2017-03	2017-02	2017-01	2016-12	2016-11	2016-10	2016-09	2016-08	2016-07	2016-06	2016-05	2016-04	2016-03	2016-02	2016-01	2015-12	2015-11	2015-10	2015-09	2015-08	2015-07	2015-06	2015-05	2015-04	2015-03	2015-02	2015-01	2014-12	2014-11	2014-10	2014-09	2014-08	2014-07	2014-06	2014-05	2014-04	2014-03	2014-02	2014-01	2013-12	2013-11	2013-10	2013-09	2013-08	2013-07	2013-06	2013-05	2013-04	2013-03	2013-02	2013-01	2012-12	2012-11	2012-10	2012-09	2012-08	2012-07	2012-06	2012-05	2012-04	2012-03	2012-02	2012-01	2011-12	2011-11	2011-10	2011-09	2011-08	2011-07	2011-06	2011-05	2011-04	2011-03	2011-02	2011-01	2010-12	2010-11	2010-10	2010-09	2010-08	2010-07	2010-06	2010-05	2010-04	2010-03	2010-02	2010-01	2009-12	2009-11	2009-10	2009-09	2009-08	2009-07	2009-06	2009-05
make	17	42	18	14	17	21	18	9	11	11	13	8	8	15	15	23	16	14	27	20	9	5	14	13	9	12	16	25	14	16	12	10	4	14	9	15	6	4	4	9	6	10	6	1	9	6	12	6	17	24	17	7	19	19	17	20	21	29	20	27	24	38	14	14	58	44	69	59	18	12	21	19	20	22	14	6	15	37	15	18	12	6	8	9	9	10	19	19	8	6	18	21	11	14	13	10	26	9	5	11	7	7	3	2	4	6	7	4	4	1	2		3				1					1	1											1					
negative	1	5		2	1	1	1	1		2		1	1	2	4	3		3	1		1	1	1			1	1		3		1	1		1	3	3		2	1		2			1		1				1			2	2	2	3	10	5	1	3	7	1	2			2			1									1			1		1	1	1	2	1						1	3	1		1	2		1	1	2						1	2																														
stuff	1		1	1			1			1	2	2		1	1	1	2		1				1			2	3	1	1	2	1	2					1										1						1				1			1		3		1	1				1	1	2	1	2		2		2	1		2			1	1	2		1	1	1	1	2						1	4																																									
thing	6	8	5	4	3	6	5	2	5	2	5	5	15	9	6	8	3	3	6	6	4	3	9	6	1	4	5	4	1	2	1	5	3	3	4	2	6	2	3		1		2	1		2	3	1	1	1	1		4	1	3	2			2	1	2	9	2	4	6	2	6	6	2	1	6	11	2	3	4	9	3	4	3	10	3	3	1	6	6	3	6	4	6	1	4	6	4	3	3	4	6	4	4	2	1	2	2	2	1	1		1		1		1	4																										
happen	8	10	1	4	4	5	12	3	6	8	4	4	4	4	8	6	3	2	10	10	4	1	7	7		1	2	4	2	8	9	2	3	3	2	2	1		3	1	2		1	1			1	1	1	4				1	1	1	2	4	2	1	2	4	2	1	1	5	2	3	2		4	7	4	4	2	1	2	3	3	3	5		1	2	3	4	2	6	6	2	3	6	5	3	2		3		2	1	1		3	1																																			
happening	2	6	3		3		5	4		1			1	6	4	6	3	2	1	1	2		4	3	3	4	2	5	1	3		3	2			1	2		2		1		1	1	1	3	3	1		1	1	1	3	1	1	3		1		2		1			1	1		1			1			2	1	1	3	1	2		1							1	1		1		1	1	1		1																														1												
daytime	7																1																																																																																																																										
also	14	16	15	14	14	12	19	9	13	9	9	11	14	20	21	17	14	11	20	6	10	3	12	11	3	10	12	13	8	5	7	9	7	8	7	5	4	9	2	2	2	1	1		1		4		1	2	1	1	4	1	1	2	5	3	4	1	6	5	5	7	4	3	3	6	1	4	3		4	4	4	2	3	4	6	8	6	3	3	8	2	3	4	2	3	6	5	8	13	7	6	7	3	6	1	1	2	1	2	4	2	1	2	1	2	1	1	1			1		2	1									1												
big	40	66	29	38	28	48	38	20	7	25	25	25	27	42	37	38	33	33	21	28	12	9	31	14	23	23	12	42	24	34	18	17	9	14	18	16	18	13	18	8	11	10	12	15	10	11	14	3	7	12	6	8	9	6	11	11	28	33	25	23	21	23	21	6	15	10	13	12	16	10	15	12	10	4	12	11	5	22	12	15	10	8	10	15	12	8	15	19	20	18	27	23	32	22	34	13	15	21	11	9	3	2	3	3	4	4	3	2	1	1	1								2		1													1			1	1	
conservative	1			1	1	5	1		1	6		1	1	2	1	2		1	3	1				1				3	1					1																	1		1	1			2	2				2	1		1	2		7	1		2		2	4			2	3			1	1		1			1	1			1		2	2			1	1		2						2		1																															
